NDB_No	Nutr_No	Flav_Val (mg Per 100g)
35193	738	0
35194	734	0
35194	735	0
35194	736	0
35194	737	0
35194	738	0
43007	734	0
43007	735	0
43007	736	0
43007	737	0
43007	738	0
43201	734	0
43201	735	0
43408	734	0.09
43408	735	0.09
43408	736	0
43408	737	0
43408	738	0
44074	734	0.19
44074	735	0.19
44074	736	0.37
44074	737	0
44074	738	0
97002	734	4.56
97003	734	360.88
97003	735	44.07
97003	736	664
97003	737	400.3
97003	738	1100.1
97004	734	35.31
97004	735	7.32
97005	734	1.3
97005	735	0.63
97007	734	6.6
97007	735	3.69
97011	734	3.4
97011	735	2.4
97011	736	2.2
97011	737	0
97011	738	0
97014	734	84.1
97014	735	51.53
97016	734	0
97016	735	0
97017	734	0
97017	735	0
97017	736	0
97017	737	0
97017	738	0
97018	734	8.9
97018	735	5.1
97018	736	17.8
97018	737	12.3
97018	738	14.8
97020	734	7.3
97020	735	4.3
97020	736	14.9
97020	737	10.6
97020	738	14
97021	734	3.4
97021	735	2.3
97021	736	7.6
97021	737	4.6
97021	738	0
97022	734	2.5
97022	735	1.9
97022	736	8.1
97022	737	7.1
97022	738	4.4
97023	734	4
97023	735	2.7
97023	736	10.3
97023	737	7.4
97023	738	7.3
97024	734	1
97024	735	0.9
97024	736	3.8
97024	737	3.3
97024	738	2.8
97025	734	1.8
97025	735	1.3
97025	736	5.3
97025	737	4.4
97025	738	4.4
97030	734	95.56
97030	735	123.72
97030	736	650.32
97030	737	784.19
97030	738	2927.64
97031	734	43.49
97034	734	831.29
97034	735	785.7
97034	736	2690.78
97034	737	2224.21
97034	738	1568.49
97041	734	0
97041	735	0
97046	734	27.71
97049	734	11.93
97054	734	23.45
97063	734	13.25
97063	735	14.17
97063	736	84.61
97063	737	127.39
97063	738	1131.24
97068	734	8.92
97068	735	5.79
97068	736	21.16
97068	737	17.54
97068	738	22.4
97071	734	14.8
97071	735	7.18
97071	736	24.33
97071	737	20.31
97071	738	28.75
97074	734	2.37
97074	735	1.08
97074	736	5.39
97074	737	4.98
97074	738	36.41
97075	734	2.73
97075	735	2.03
97075	736	5.99
97075	737	5.36
97075	738	24.16
97077	734	19.74
97077	735	18.84
97077	736	57.33
97077	737	38.04
